,dob,photo_taken,full_path,gender,age,pixels
0,723671,2009,['17/10000217_1981-05-05_2009.jpg'],1.0,28,"tensor([255., 255., 255.,  ...,  27.,  78., 143.])"
2,711677,2008,['12/100012_1948-07-03_2008.jpg'],1.0,60,"tensor([92., 97., 91.,  ..., 30., 31., 35.])"
4,720044,2012,['16/10002116_1971-05-31_2012.jpg'],0.0,41,"tensor([ 61.,  30.,  10.,  ..., 255., 237., 231.])"
5,716189,2012,['02/10002702_1960-11-09_2012.jpg'],0.0,52,"tensor([ 97., 122., 178.,  ...,  83., 112., 168.])"
6,707745,1971,['41/10003541_1937-09-27_1971.jpg'],1.0,34,"tensor([190., 189., 194.,  ..., 104., 103.,  99.])"
10,697114,1950,['99/10004299_1908-08-19_1950.jpg'],1.0,42,"tensor([ 75.,  70.,  66.,  ..., 230., 218., 202.])"
11,706177,1969,['56/1000456_1933-06-12_1969.jpg'],1.0,36,"tensor([174., 174., 174.,  ...,  18.,  18.,  18.])"
12,725873,2010,['82/10004882_1987-05-16_2010.jpg'],1.0,23,"tensor([187., 186., 192.,  ..., 171., 200., 116.])"
15,723643,2006,['47/10005947_1981-04-07_2006.jpg'],0.0,25,"tensor([ 75.,   2.,  47.,  ..., 123., 101.,  87.])"
17,720853,2010,['50/10006850_1973-08-17_2010.jpg'],1.0,37,"tensor([207., 208., 194.,  ...,  75.,  54.,  69.])"
19,705106,2008,['81/1000781_1930-07-07_2008.jpg'],1.0,78,"tensor([ 28.,  31.,  38.,  ..., 240., 174., 142.])"
21,718880,2010,['97/100097_1968-03-23_2010.jpg'],1.0,42,"tensor([110.,  88.,  65.,  ...,  47.,  45.,  58.])"
23,723576,2014,['31/1001231_1981-01-30_2014.jpg'],1.0,33,"tensor([ 94., 140., 200.,  ...,  66.,  76.,  16.])"
24,724365,2011,['32/10012532_1983-03-30_2011.jpg'],0.0,28,"tensor([219., 175., 176.,  ...,  12.,  16.,  28.])"
27,703706,1986,['31/100131_1926-09-06_1986.jpg'],1.0,60,"tensor([238., 238., 240.,  ...,  69.,  57.,  61.])"
28,714561,1969,['45/10013345_1956-05-26_1969.jpg'],1.0,13,"tensor([13., 13., 13.,  ..., 93., 93., 93.])"
32,719082,2010,['95/10014795_1968-10-11_2010.jpg'],1.0,42,"tensor([255., 209., 193.,  ...,  34.,  34.,  34.])"
